time;Portata [Nm3/h];%CH4;LHV [kWh/Nm3];Pin [kW];;;
400;369;60;5,964;298,2;;;
401;369;60;5,964;298,2;;;
402;369;60;5,964;298,2;;;
403;369;60;5,964;298,2;;;
404;369;60;5,964;298,2;;;
405;369;60;5,964;298,2;;;
406;369;60;5,964;298,2;;;
407;369;60;5,964;298,2;;;
408;369;60;5,964;298,2;;;
409;369;60;5,964;298,2;;;
410;369;60;5,964;298,2;;;
411;369;60;5,964;298,2;;;
412;369;60;5,964;298,2;;;
413;369;60;5,964;298,2;;;
414;369;60;5,964;298,2;;;
415;369;60;5,964;298,2;;;
416;369;60;5,964;298,2;;;
417;369;60;5,964;298,2;;;
418;369;60;5,964;298,2;;;
419;369;60;5,964;298,2;;;
420;369;60;5,964;298,2;;;
421;369;60;5,964;298,2;;;
422;369;60;5,964;298,2;;;
423;369;60;5,964;298,2;;;
424;369;60;5,964;298,2;;;
425;369;60;5,964;298,2;;;
426;369;60;5,964;298,2;;;
427;369;60;5,964;298,2;;;
428;369;60;5,964;298,2;;;
429;369;60;5,964;298,2;;;
430;369;60;5,964;298,2;;;
431;369;60;5,964;298,2;;;
432;369;60;5,964;298,2;;;
433;369;60;5,964;298,2;;;
434;369;60;5,964;298,2;;;
435;369;60;5,964;298,2;;;
436;369;60;5,964;298,2;;;
437;369;60;5,964;298,2;;;
438;369;60;5,964;298,2;;;
439;369;60;5,964;298,2;;;
440;369;60;5,964;298,2;;;
441;369;60;5,964;298,2;;;
442;369;60;5,964;298,2;;;
443;369;60;5,964;298,2;;;
444;369;60;5,964;298,2;;;
445;369;60;5,964;298,2;;;
446;369;60;5,964;298,2;;;
447;369;60;5,964;298,2;;;
448;369;60;5,964;298,2;;;
449;369;60;5,964;298,2;;;
450;369;60;5,964;298,2;;;
451;369;60;5,964;298,2;;;
452;369;60;5,964;298,2;;;
453;369;60;5,964;298,2;;;
454;369;60;5,964;298,2;;;
455;369;60;5,964;298,2;;;
456;369;60;5,964;298,2;;;
457;369;60;5,964;298,2;;;
458;369;60;5,964;298,2;;;
459;369;60;5,964;298,2;;;
460;369;60;5,964;298,2;;;
461;369;60;5,964;298,2;;;
462;369;60;5,964;298,2;;;
463;369;60;5,964;298,2;;;
464;369;60;5,964;298,2;;;
465;369;60;5,964;298,2;;;
466;369;60;5,964;298,2;;;
467;369;60;5,964;298,2;;;
468;369;60;5,964;298,2;;;
469;369;60;5,964;298,2;;;
470;369;60;5,964;298,2;;;
471;369;60;5,964;298,2;;;
472;369;60;5,964;298,2;;;
473;369;60;5,964;298,2;;;
474;369;60;5,964;298,2;;;
475;369;60;5,964;298,2;;;
476;369;60;5,964;298,2;;;
477;369;60;5,964;298,2;;;
478;369;60;5,964;298,2;;;
479;369;60;5,964;298,2;;;
480;369;60;5,964;298,2;;;
481;369;60;5,964;298,2;;;
482;369;60;5,964;298,2;;;
483;369;60;5,964;298,2;;;
484;369;60;5,964;298,2;;;
485;369;60;5,964;298,2;;;
486;369;60;5,964;298,2;;;
487;369;60;5,964;298,2;;;
488;369;60;5,964;298,2;;;
489;369;60;5,964;298,2;;;
490;369;60;5,964;298,2;;;
491;369;60;5,964;298,2;;;
492;369;60;5,964;298,2;;;
493;369;60;5,964;298,2;;;
494;369;60;5,964;298,2;;;
495;369;60;5,964;298,2;;;
496;369;60;5,964;298,2;;;
497;369;60;5,964;298,2;;;
498;369;60;5,964;298,2;;;
499;369;60;5,964;298,2;;;
500;369;60;5,964;298,2;;;
501;369;60;5,964;298,2;;;
502;369;60;5,964;298,2;;;
503;369;60;5,964;298,2;;;
504;369;60;5,964;298,2;;;
505;369;60;5,964;298,2;;;
506;369;60;5,964;298,2;;;
507;369;60;5,964;298,2;;;
508;369;60;5,964;298,2;;;
509;369;60;5,964;298,2;;;
510;369;60;5,964;298,2;;;
511;369;60;5,964;298,2;;;
512;369;60;5,964;298,2;;;
513;369;60;5,964;298,2;;;
514;369;60;5,964;298,2;;;
515;369;60;5,964;298,2;;;
516;369;60;5,964;298,2;;;
517;369;60;5,964;298,2;;;
518;369;60;5,964;298,2;;;
519;369;60;5,964;298,2;;;
520;369;60;5,964;298,2;;;
521;369;60;5,964;298,2;;;
522;369;60;5,964;298,2;;;
523;369;60;5,964;298,2;;;
524;369;60;5,964;298,2;;;
525;369;60;5,964;298,2;;;
526;369;60;5,964;298,2;;;
527;369;60;5,964;298,2;;;
528;369;60;5,964;298,2;;;
529;369;60;5,964;298,2;;;
530;369;60;5,964;298,2;;;
531;369;60;5,964;298,2;;;
532;369;60;5,964;298,2;;;
533;369;60;5,964;298,2;;;
534;369;60;5,964;298,2;;;
535;369;60;5,964;298,2;;;
536;369;60;5,964;298,2;;;
