time;P;G(i);H_sun;T2m;WS10m;Int
20200112:0910;503.56;590.9;16.1;3.44;0.97;0.0
20200112:1010;647.51;779.31;21.03;6.02;1.17;0.0
20200112:1110;696.85;846.57;23.46;6.67;1.31;0.0
20200112:1210;715.46;877.99;23.12;7.75;1.24;0.0
20200112:1310;647.8;790.94;20.05;8.34;1.03;0.0
20200112:1410;525.2;631.48;14.59;7.89;0.76;0.0
20200112:1510;335.61;402.4;7.24;7.4;0.62;0.0
20200112:1610;0.0;0.0;0.0;6.6;0.48;0.0
20200112:1710;0.0;0.0;0.0;5.77;0.48;0.0
20200112:1810;0.0;0.0;0.0;5.18;0.69;0.0
20200112:1910;0.0;0.0;0.0;4.54;0.55;0.0
20200112:2010;0.0;0.0;0.0;4.56;0.62;0.0
20200112:2110;0.0;0.0;0.0;3.9;0.55;0.0
20200112:2210;0.0;0.0;0.0;2.72;0.55;0.0
20200112:2310;0.0;0.0;0.0;2.81;0.55;0.0
20200113:0010;0.0;0.0;0.0;2.23;0.41;0.0
20200113:0110;0.0;0.0;0.0;1.31;0.34;0.0
20200113:0210;0.0;0.0;0.0;-0.92;0.34;0.0
20200113:0310;0.0;0.0;0.0;-1.64;0.28;0.0
20200113:0410;0.0;0.0;0.0;-1.84;0.41;0.0
20200113:0510;0.0;0.0;0.0;-1.76;0.48;0.0
20200113:0610;0.0;0.0;0.0;-1.96;0.55;0.0
20200113:0710;0.0;0.0;0.0;-1.04;0.69;0.0
20200113:0810;267.75;315.21;9.25;-0.34;0.69;0.0
20200113:0910;473.15;552.63;16.21;2.32;0.69;0.0
20200113:1010;614.3;733.73;21.16;4.57;0.9;0.0
20200113:1110;602.24;719.15;23.62;4.93;0.97;0.0
20200113:1210;584.36;698.8;23.3;5.51;0.9;0.0
20200113:1310;528.06;628.54;20.23;5.77;0.76;0.0
20200113:1410;495.34;585.72;14.78;5.04;0.69;0.0
20200113:1510;191.29;231.0;7.43;4.36;0.76;0.0
20200113:1610;0.0;0.0;0.0;3.15;0.76;0.0
20200113:1710;0.0;0.0;0.0;2.63;0.55;0.0
20200113:1810;0.0;0.0;0.0;2.36;0.41;0.0
20200113:1910;0.0;0.0;0.0;2.02;0.21;0.0
20200113:2010;0.0;0.0;0.0;2.45;0.28;0.0
20200113:2110;0.0;0.0;0.0;2.35;0.07;0.0
20200113:2210;0.0;0.0;0.0;2.33;0.14;0.0
20200113:2310;0.0;0.0;0.0;3.09;0.21;0.0
20200114:0010;0.0;0.0;0.0;3.06;0.14;0.0
20200114:0110;0.0;0.0;0.0;2.99;0.07;0.0
20200114:0210;0.0;0.0;0.0;2.43;0.07;0.0
20200114:0310;0.0;0.0;0.0;2.48;0.07;0.0
20200114:0410;0.0;0.0;0.0;2.18;0.21;0.0
20200114:0510;0.0;0.0;0.0;2.21;0.21;0.0
20200114:0610;0.0;0.0;0.0;2.14;0.14;0.0
20200114:0710;0.0;0.0;0.0;1.25;0.62;0.0
20200114:0810;29.12;47.44;9.35;1.82;0.41;0.0
20200114:0910;99.86;128.95;16.33;3.36;0.76;0.0
20200114:1010;86.12;114.41;21.31;4.48;0.83;0.0
20200114:1110;67.87;93.54;23.79;4.06;0.62;0.0
20200114:1210;41.73;63.28;23.48;4.86;0.62;0.0
20200114:1310;25.25;43.1;20.43;4.73;0.69;0.0
20200114:1410;18.86;34.85;14.97;4.18;0.55;0.0
20200114:1510;8.21;20.18;7.62;4.03;0.48;0.0
20200114:1610;0.0;0.0;0.0;3.58;0.55;0.0
20200114:1710;0.0;0.0;0.0;3.08;0.55;0.0
20200114:1810;0.0;0.0;0.0;2.82;0.62;0.0
20200114:1910;0.0;0.0;0.0;3.01;0.55;0.0
20200114:2010;0.0;0.0;0.0;3.46;0.48;0.0
20200114:2110;0.0;0.0;0.0;3.15;0.62;0.0
20200114:2210;0.0;0.0;0.0;2.95;0.62;0.0
20200114:2310;0.0;0.0;0.0;3.57;0.62;0.0
20200115:0010;0.0;0.0;0.0;3.54;0.69;0.0
20200115:0110;0.0;0.0;0.0;3.54;0.62;0.0
20200115:0210;0.0;0.0;0.0;3.17;0.76;0.0
20200115:0310;0.0;0.0;0.0;3.16;0.83;0.0
20200115:0410;0.0;0.0;0.0;3.14;0.9;0.0
20200115:0510;0.0;0.0;0.0;3.24;0.83;0.0
20200115:0610;0.0;0.0;0.0;3.24;0.76;0.0
20200115:0710;0.0;0.0;0.0;3.06;0.9;0.0
20200115:0810;56.04;79.83;9.45;3.74;0.9;0.0
20200115:0910;78.57;105.48;16.46;3.95;0.83;0.0
20200115:1010;37.99;58.69;21.46;4.45;0.76;0.0
20200115:1110;59.95;84.37;23.96;3.96;0.69;0.0
20200115:1210;41.06;62.36;23.67;4.37;0.62;0.0
20200115:1310;33.41;53.19;20.62;4.62;0.62;0.0
20200115:1410;24.6;42.19;15.17;4.05;0.55;0.0
20200115:1510;12.05;25.68;7.82;3.95;0.48;0.0
20200115:1610;0.0;0.0;0.0;3.58;0.28;0.0
20200115:1710;0.0;0.0;0.0;3.32;0.21;0.0
20200115:1810;0.0;0.0;0.0;3.17;0.14;0.0
20200115:1910;0.0;0.0;0.0;3.97;0.14;0.0
20200115:2010;0.0;0.0;0.0;4.47;0.07;0.0
20200115:2110;0.0;0.0;0.0;4.41;0.07;0.0
20200115:2210;0.0;0.0;0.0;4.35;0.07;0.0
20200115:2310;0.0;0.0;0.0;5.26;0.14;0.0
20200116:0010;0.0;0.0;0.0;5.29;0.14;0.0
20200116:0110;0.0;0.0;0.0;5.31;0.14;0.0
20200116:0210;0.0;0.0;0.0;4.89;0.07;0.0
20200116:0310;0.0;0.0;0.0;4.83;0.21;0.0
20200116:0410;0.0;0.0;0.0;4.76;0.21;0.0
20200116:0510;0.0;0.0;0.0;4.83;0.21;0.0
20200116:0610;0.0;0.0;0.0;4.74;0.28;0.0
20200116:0710;0.0;0.0;0.0;4.75;0.21;0.0
20200116:0810;134.07;170.03;9.56;5.48;0.28;0.0
20200116:0910;246.74;295.5;16.59;5.93;0.28;0.0
20200116:1010;460.51;549.92;21.61;6.67;0.41;0.0
20200116:1110;659.43;809.8;24.14;6.48;0.41;0.0
20200116:1210;666.92;819.04;23.87;6.83;0.55;0.0
20200116:1310;606.43;735.48;20.83;6.91;0.62;0.0
20200116:1410;508.39;605.67;15.37;6.35;0.69;0.0
20200116:1510;339.21;403.36;8.02;6.19;0.76;0.0
20200116:1610;0.0;0.0;0.0;5.88;0.76;0.0
20200116:1710;0.0;0.0;0.0;5.2;0.83;0.0
20200116:1810;0.0;0.0;0.0;4.7;0.83;0.0
20200116:1910;0.0;0.0;0.0;3.89;0.97;0.0
20200116:2010;0.0;0.0;0.0;3.93;0.9;0.0
20200116:2110;0.0;0.0;0.0;3.32;0.83;0.0
20200116:2210;0.0;0.0;0.0;2.92;0.76;0.0
20200116:2310;0.0;0.0;0.0;3.58;0.69;0.0
20200117:0010;0.0;0.0;0.0;3.29;0.55;0.0
20200117:0110;0.0;0.0;0.0;3.44;0.48;0.0
20200117:0210;0.0;0.0;0.0;2.95;0.41;0.0
20200117:0310;0.0;0.0;0.0;2.76;0.28;0.0
20200117:0410;0.0;0.0;0.0;2.79;0.34;0.0
20200117:0510;0.0;0.0;0.0;2.99;0.34;0.0
20200117:0610;0.0;0.0;0.0;3.1;0.55;0.0
20200117:0710;0.0;0.0;0.0;2.81;0.14;0.0
20200117:0810;290.89;349.7;9.68;4.19;0.41;0.0
20200117:0910;497.45;593.63;16.73;5.68;0.48;0.0
20200117:1010;627.47;763.69;21.78;7.4;0.76;0.0
20200117:1110;619.16;748.79;24.33;7.43;1.1;0.0
20200117:1210;108.68;141.73;24.07;7.87;1.1;0.0
20200117:1310;29.22;48.6;21.03;7.82;1.38;0.0
20200117:1410;16.48;32.1;15.58;7.51;1.1;0.0
20200117:1510;13.14;27.51;8.22;7.3;0.97;0.0
20200117:1610;0.0;0.0;0.0;6.62;0.97;0.0
20200117:1710;0.0;0.0;0.0;6.01;0.97;0.0
20200117:1810;0.0;0.0;0.0;5.34;0.76;0.0
20200117:1910;0.0;0.0;0.0;5.25;0.41;0.0
20200117:2010;0.0;0.0;0.0;5.56;0.48;0.0
20200117:2110;0.0;0.0;0.0;5.24;0.83;0.0
20200117:2210;0.0;0.0;0.0;4.94;1.1;0.0
20200117:2310;0.0;0.0;0.0;5.38;1.72;0.0
20200118:0010;0.0;0.0;0.0;4.99;2.07;0.0
20200118:0110;0.0;0.0;0.0;4.45;2.21;0.0
20200118:0210;0.0;0.0;0.0;3.54;2.28;0.0
20200118:0310;0.0;0.0;0.0;3.12;2.28;0.0
20200118:0410;0.0;0.0;0.0;2.94;2.34;0.0
20200118:0510;0.0;0.0;0.0;3.01;1.93;0.0
20200118:0610;0.0;0.0;0.0;2.99;1.72;0.0
20200118:0710;0.0;0.0;0.0;3.2;1.66;0.0
20200118:0810;299.56;356.59;9.8;3.8;1.45;0.0
20200118:0910;154.31;189.77;16.88;5.15;1.79;0.0
20200118:1010;329.79;388.01;21.95;6.74;1.86;0.0
20200118:1110;492.2;578.44;24.52;6.98;2.21;0.0
20200118:1210;592.37;705.7;24.28;7.79;2.07;0.0
20200118:1310;646.14;778.02;21.25;8.36;1.86;0.0
20200118:1410;559.76;666.14;15.79;7.99;1.79;0.0
20200118:1510;360.46;428.53;8.43;7.62;1.52;0.0
20200118:1610;0.0;0.0;0.0;6.48;1.1;0.0
20200118:1710;0.0;0.0;0.0;4.5;0.97;0.0
20200118:1810;0.0;0.0;0.0;4.02;0.83;0.0
20200118:1910;0.0;0.0;0.0;4.13;0.69;0.0
20200118:2010;0.0;0.0;0.0;3.73;0.69;0.0
20200118:2110;0.0;0.0;0.0;2.91;0.62;0.0
20200118:2210;0.0;0.0;0.0;2.29;0.55;0.0
20200118:2310;0.0;0.0;0.0;2.66;0.41;0.0
20200119:0010;0.0;0.0;0.0;2.4;0.55;0.0
20200119:0110;0.0;0.0;0.0;1.39;0.76;0.0
20200119:0210;0.0;0.0;0.0;-0.21;0.97;0.0
20200119:0310;0.0;0.0;0.0;-1.01;1.1;0.0
20200119:0410;0.0;0.0;0.0;-1.53;1.24;0.0
20200119:0510;0.0;0.0;0.0;-2.09;1.24;0.0
20200119:0610;0.0;0.0;0.0;-2.12;1.24;0.0
20200119:0710;0.0;0.0;0.0;-1.12;1.31;0.0
20200119:0810;23.49;40.35;9.93;1.43;1.66;0.0
20200119:0910;33.01;52.27;17.03;2.68;1.59;0.0
20200119:1010;71.38;97.21;22.13;3.64;1.79;0.0
20200119:1110;76.32;102.71;24.72;3.55;2.28;0.0
20200119:1210;50.58;73.37;24.49;4.12;2.76;0.0
20200119:1310;33.5;53.19;21.47;4.56;3.03;0.0
