time;Potenza [kW]
1130;1269.15
1131;1203.09995
1132;1150.7
1133;1137.1
1134;1164.14995
1135;1234.45
1136;1270.5
1137;1359.55
1138;1474.9
1139;1529.34995
1140;1529.95005
1141;1531
1142;1461.5
1143;1399.65005
1144;1405.85
1145;1439.49995
1146;1472.70005
1147;1745.5
1148;1871.55
1149;1844.05005
1150;1757
1151;1617.5
1152;1470.25
1153;1313.6
1154;1209.15005
1155;1173.75
1156;1173.95
1157;1175.40005
1158;1254.40005
1159;1563.05
1160;1942.95
1161;2232.7
1162;2352.55
1163;2321.29995
1164;2300.10005
1165;2182.65
1166;2106.7
1167;2173.8
1168;2243.45
1169;2283.05005
1170;2278.3
1171;2427.35
1172;2448.1
1173;2331.7
1174;2185.94995
1175;1956.34995
1176;1755.5
1177;1583.45005
1178;1445
1179;1376.95
1180;1354.64995
1181;1357
1182;1429.34995
1183;1687.8
1184;2039.10005
1185;2320.90005
1186;2406.65
1187;2383.05
1188;2345.64995
1189;2237.15
1190;2151.1
1191;2207.15005
1192;2253.89995
1193;2311.65
1194;2337.94995
1195;2474.85
1196;2490.05005
1197;2351.04995
1198;2214.9
1199;1982.8
1200;1784.8
1201;1607.65
1202;1473.34995
1203;1409.44995
1204;1380.7
1205;1397.55005
1206;1473.95005
1207;1738.49995
1208;2075.34995
1209;2360.5
1210;2480.40005
1211;2435.4
1212;2399.84995
1213;2236.00005
1214;2161.55
1215;2239.19995
1216;2306.55
1217;2346.84995
1218;2333.70005
1219;2507.99995
1220;2547.35005
1221;2403.6
1222;2225.15
1223;2019.7
1224;1799.19995
1225;1611.45
1226;1510.69995
1227;1438.39995
1228;1431.00005
1229;1433.9
1230;1508.74995
1231;1744.45
1232;2086.59995
1233;2354
1234;2445.6
1235;2374.6
1236;2337.1
1237;2206.35
1238;2122.85
1239;2208.3
1240;2254.95
1241;2300.7
1242;2288.29995
1243;2430.85
1244;2497.09995
1245;2375.5
1246;2204.65
1247;1982.14995
1248;1763.70005
1249;1575.65
1250;1459.14995
1251;1385.45005
1252;1370.45005
1253;1375.8
1254;1468.7
1255;1707.7001
1256;2045.65005
1257;2329.6999
1258;2435.7
1259;2405.65
1260;2353.45
1261;2277
1262;2169.80005
1263;2177.70005
1264;2237.7
1265;2216.25005
1266;2226
1267;2338.15005
1268;2407.05
1269;2271.65
1270;2085.29995
1271;1887.10005
1272;1703
1273;1535.14995
1274;1389.45005
1275;1305.05
1276;1273.65
1277;1285.05
1278;1317.35
1279;1419.49995
1280;1567.45
1281;1780.4
1282;1887.3
1283;1874.04995
1284;1853.25
1285;1814.90005
1286;1738.84995
1287;1703.39995
1288;1678.84995
1289;1658.35005
1290;1724.04995
1291;1941.7
1292;2071.29995
1293;1995.8
1294;1826
1295;1658.15
1296;1527.94995
1297;1381.7
1298;1264.60005
1299;1190.34995
1300;1166.4501
1301;1150.74995
1302;1165.05
1303;1232.15
1304;1253.05
1305;1364.05
1306;1490.30005
1307;1568.7
1308;1598
1309;1607.64995
1310;1531.15005
1311;1473.35
1312;1441
1313;1452.29995
1314;1512.24995
1315;1729.3
1316;1911.15
1317;1860
1318;1753.05
1319;1603.04995
1320;1433.65005
1321;1302.70005
1322;1200.5
1323;1151.65
1324;1125.2
1325;1143.29995
1326;1235.1
1327;1532.04995
1328;1893.80005
1329;2218.05
1330;2354.2
1331;2337.34995
